Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32768       4096      int64     and       w         12.307200         2.663         2.330       
65536       8192      int64     and       w         11.929600         5.494         4.807       
131072      16384     int64     and       w         11.987200         10.934        9.568       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        w         12.537600         0.005         0.004       
128         16        int64     or        w         12.089600         0.011         0.009       
256         32        int64     or        w         12.105600         0.021         0.019       
512         64        int64     or        w         11.936000         0.043         0.038       
1024        128       int64     or        w         11.891200         0.086         0.075       
2048        256       int64     or        w         11.971200         0.171         0.150       
4096        512       int64     or        w         11.968000         0.342         0.299       
8192        1024      int64     or        w         12.025600         0.681         0.596       
16384       2048      int64     or        w         11.984000         1.367         1.196       
32768       4096      int64     or        w         12.006400         2.729         2.388       
65536       8192      int64     or        w         11.971200         5.474         4.790       
131072      16384     int64     or        w         12.012800         10.911        9.547       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     xor       w         11.987200         0.005         0.005       
128         16        int64     xor       w         11.993600         0.011         0.009       
256         32        int64     xor       w         12.192000         0.021         0.018       
512         64        int64     xor       w         11.929600         0.043         0.038       
1024        128       int64     xor       w         12.092800         0.085         0.074       
2048        256       int64     xor       w         12.060800         0.170         0.149       
4096        512       int64     xor       w         11.980800         0.342         0.299       
8192        1024      int64     xor       w         12.009600         0.682         0.597       
16384       2048      int64     xor       w         11.929600         1.373         1.202       
32768       4096      int64     xor       w         12.057600         2.718         2.378       
65536       8192      int64     xor       w         12.003200         5.460         4.777       
131072      16384     int64     xor       w         11.952000         10.967        9.596       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     min       w         11.968000         0.005         0.005       
128         16        int64     min       w         12.006400         0.011         0.009       
256         32        int64     min       w         12.147200         0.021         0.018       
512         64        int64     min       w         12.502401         0.041         0.036       
1024        128       int64     min       w         12.006400         0.085         0.075       
2048        256       int64     min       w         12.073600         0.170         0.148       
4096        512       int64     min       w         12.032000         0.340         0.298       
8192        1024      int64     min       w         12.176000         0.673         0.589       
16384       2048      int64     min       w         12.041600         1.361         1.191       
32768       4096      int64     min       w         11.993600         2.732         2.391       
65536       8192      int64     min       w         12.083200         5.424         4.746       
131072      16384     int64     min       w         12.124800         10.810        9.459       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     max       w         12.035200         0.005         0.005       
128         16        int64     max       w         12.022400         0.011         0.009       
256         32        int64     max       w         12.028800         0.021         0.019       
512         64        int64     max       w         12.041600         0.043         0.037       
1024        128       int64     max       w         12.060800         0.085         0.074       
2048        256       int64     max       w         12.076800         0.170         0.148       
4096        512       int64     max       w         12.032000         0.340         0.298       
8192        1024      int64     max       w         12.009600         0.682         0.597       
16384       2048      int64     max       w         11.984000         1.367         1.196       
32768       4096      int64     max       w         12.092800         2.710         2.371       
65536       8192      int64     max       w         12.083200         5.424         4.746       
131072      16384     int64     max       w         11.987200         10.934        9.568       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       b         10.208000         0.003         0.003       
64          16        int32     sum       b         10.422400         0.006         0.005       
128         32        int32     sum       b         10.313600         0.012         0.011       
256         64        int32     sum       b         10.352000         0.025         0.022       
512         128       int32     sum       b         10.230400         0.050         0.044       
1024        256       int32     sum       b         10.336000         0.099         0.087       
2048        512       int32     sum       b         10.240000         0.200         0.175       
4096        1024      int32     sum       b         10.275200         0.399         0.349       
8192        2048      int32     sum       b         10.409600         0.787         0.689       
16384       4096      int32     sum       b         10.262400         1.597         1.397       
32768       8192      int32     sum       b         10.233600         3.202         2.802       
65536       16384     int32     sum       b         10.233600         6.404         5.604       
131072      32768     int32     sum       b         10.304000         12.720        11.130      
262144      65536     int32     sum       b         10.323200         25.394        22.219      
524288      131072    int32     sum       b         10.246400         51.168        44.772      
1048576     262144    int32     sum       b         10.256000         102.240       89.460      
2097152     524288    int32     sum       b         10.422400         201.216       176.064     
4194304     1048576   int32     sum       b         10.329600         406.047       355.291     
8388608     2097152   int32     sum       b         10.313600         813.354       711.685     
16777216    4194304   int32     sum       b         10.563200         1588.270      1389.736    
