Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        w         12.041600         0.001         0.001       
16          2         int64     or        w         11.990400         0.001         0.002       
32          4         int64     or        w         12.457600         0.003         0.004       
64          8         int64     or        w         11.952000         0.005         0.009       
128         16        int64     or        w         11.955200         0.011         0.019       
256         32        int64     or        w         12.016000         0.021         0.037       
512         64        int64     or        w         12.774400         0.040         0.070       
1024        128       int64     or        w         15.273599         0.067         0.117       
2048        256       int64     or        w         19.375999         0.106         0.185       
4096        512       int64     or        w         26.793599         0.153         0.268       
8192        1024      int64     or        w         42.246401         0.194         0.339       
16384       2048      int64     or        w         73.465598         0.223         0.390       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       w         11.977600         0.001         0.001       
16          2         int64     xor       w         11.932800         0.001         0.002       
32          4         int64     xor       w         11.913600         0.003         0.005       
64          8         int64     xor       w         11.942400         0.005         0.009       
128         16        int64     xor       w         11.968000         0.011         0.019       
256         32        int64     xor       w         12.009600         0.021         0.037       
512         64        int64     xor       w         12.742400         0.040         0.070       
1024        128       int64     xor       w         15.196800         0.067         0.118       
2048        256       int64     xor       w         19.363201         0.106         0.185       
4096        512       int64     xor       w         26.675200         0.154         0.269       
8192        1024      int64     xor       w         42.265600         0.194         0.339       
16384       2048      int64     xor       w         73.398399         0.223         0.391       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       w         12.777600         0.001         0.001       
16          2         int64     min       w         11.929600         0.001         0.002       
32          4         int64     min       w         12.041600         0.003         0.005       
64          8         int64     min       w         11.980800         0.005         0.009       
128         16        int64     min       w         11.910400         0.011         0.019       
256         32        int64     min       w         11.990400         0.021         0.037       
512         64        int64     min       w         12.732799         0.040         0.070       
1024        128       int64     min       w         15.273599         0.067         0.117       
2048        256       int64     min       w         19.360000         0.106         0.185       
4096        512       int64     min       w         27.539200         0.149         0.260       
8192        1024      int64     min       w         43.145600         0.190         0.332       
16384       2048      int64     min       w         75.052798         0.218         0.382       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       w         11.990400         0.001         0.001       
16          2         int64     max       w         11.907200         0.001         0.002       
32          4         int64     max       w         11.958400         0.003         0.005       
64          8         int64     max       w         11.987200         0.005         0.009       
128         16        int64     max       w         11.968000         0.011         0.019       
256         32        int64     max       w         12.816000         0.020         0.035       
512         64        int64     max       w         12.822400         0.040         0.070       
1024        128       int64     max       w         15.200000         0.067         0.118       
2048        256       int64     max       w         19.280000         0.106         0.186       
4096        512       int64     max       w         27.603200         0.148         0.260       
8192        1024      int64     max       w         43.088001         0.190         0.333       
16384       2048      int64     max       w         74.998403         0.218         0.382       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       b         13.673601         0.000         0.001       
8           2         int32     sum       b         6.211200          0.001         0.002       
16          4         int32     sum       b         6.259200          0.003         0.004       
32          8         int32     sum       b         7.024000          0.005         0.008       
64          16        int32     sum       b         6.224000          0.010         0.018       
128         32        int32     sum       b         6.182400          0.021         0.036       
256         64        int32     sum       b         6.243200          0.041         0.072       
512         128       int32     sum       b         7.075200          0.072         0.127       
1024        256       int32     sum       b         8.732800          0.117         0.205       
2048        512       int32     sum       b         11.168000         0.183         0.321       
4096        1024      int32     sum       b         16.857600         0.243         0.425       
8192        2048      int32     sum       b         21.033600         0.389         0.682       
16384       4096      int32     sum       b         63.049603         0.260         0.455       
32768       8192      int32     sum       b         104.620802        0.313         0.548       
65536       16384     int32     sum       b         205.324793        0.319         0.559       
131072      32768     int32     sum       b         406.793594        0.322         0.564       
262144      65536     int32     sum       b         811.516762        0.323         0.565       
524288      131072    int32     sum       b         1619.308853       0.324         0.567       
1048576     262144    int32     sum       b         3234.815979       0.324         0.567       
2097152     524288    int32     sum       b         6466.445160       0.324         0.568       
4194304     1048576   int32     sum       b         12928.233337      0.324         0.568       
8388608     2097152   int32     sum       b         25854.492188      0.324         0.568       
16777216    4194304   int32     sum       b         53442.053223      0.314         0.549       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      b         13.638400         0.000         0.001       
8           2         int32     prod      b         6.259200          0.001         0.002       
16          4         int32     prod      b         7.008000          0.002         0.004       
32          8         int32     prod      b         6.320000          0.005         0.009       
64          16        int32     prod      b         6.294400          0.010         0.018       
128         32        int32     prod      b         6.236800          0.021         0.036       
256         64        int32     prod      b         6.195200          0.041         0.072       
512         128       int32     prod      b         7.081600          0.072         0.127       
1024        256       int32     prod      b         8.720000          0.117         0.206       
2048        512       int32     prod      b         11.222400         0.182         0.319       
4096        1024      int32     prod      b         16.899200         0.242         0.424       
8192        2048      int32     prod      b         20.947200         0.391         0.684       
16384       4096      int32     prod      b         56.121600         0.292         0.511       
32768       8192      int32     prod      b         104.518402        0.314         0.549       
65536       16384     int32     prod      b         205.465603        0.319         0.558       
131072      32768     int32     prod      b         407.667208        0.322         0.563       
262144      65536     int32     prod      b         812.265587        0.323         0.565       
524288      131072    int32     prod      b         1619.225693       0.324         0.567       
1048576     262144    int32     prod      b         3236.320114       0.324         0.567       
2097152     524288    int32     prod      b         6471.385956       0.324         0.567       
4194304     1048576   int32     prod      b         12937.263489      0.324         0.567       
8388608     2097152   int32     prod      b         25869.244385      0.324         0.567       
16777216    4194304   int32     prod      b         53510.668945      0.314         0.549       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       b         14.432000         0.000         0.000       
8           2         int32     and       b         6.272000          0.001         0.002       
16          4         int32     and       b         6.272000          0.003         0.004       
32          8         int32     and       b         6.246400          0.005         0.009       
64          16        int32     and       b         6.284800          0.010         0.018       
128         32        int32     and       b         6.246400          0.020         0.036       
256         64        int32     and       b         6.236800          0.041         0.072       
512         128       int32     and       b         7.020800          0.073         0.128       
1024        256       int32     and       b         9.212800          0.111         0.195       
2048        512       int32     and       b         11.065600         0.185         0.324       
4096        1024      int32     and       b         17.718400         0.231         0.405       
8192        2048      int32     and       b         21.817601         0.375         0.657       
16384       4096      int32     and       b         56.230402         0.291         0.510       
32768       8192      int32     and       b         104.480004        0.314         0.549       
65536       16384     int32     and       b         204.438400        0.321         0.561       
131072      32768     int32     and       b         406.825590        0.322         0.564       
262144      65536     int32     and       b         810.671997        0.323         0.566       
524288      131072    int32     and       b         1616.102409       0.324         0.568       
1048576     262144    int32     and       b         3232.291031       0.324         0.568       
2097152     524288    int32     and       b         6462.435150       0.325         0.568       
4194304     1048576   int32     and       b         12917.750549      0.325         0.568       
8388608     2097152   int32     and       b         25827.047729      0.325         0.568       
16777216    4194304   int32     and       b         53414.190674      0.314         0.550       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        b         13.833600         0.000         0.001       
8           2         int32     or        b         6.288000          0.001         0.002       
16          4         int32     or        b         6.268800          0.003         0.004       
32          8         int32     or        b         6.272000          0.005         0.009       
64          16        int32     or        b         7.001600          0.009         0.016       
128         32        int32     or        b         6.243200          0.021         0.036       
256         64        int32     or        b         6.256000          0.041         0.072       
512         128       int32     or        b         7.107200          0.072         0.126       
1024        256       int32     or        b         8.684800          0.118         0.206       
2048        512       int32     or        b         11.104000         0.184         0.323       
4096        1024      int32     or        b         16.841599         0.243         0.426       
8192        2048      int32     or        b         21.801600         0.376         0.658       
16384       4096      int32     or        b         56.268799         0.291         0.510       
32768       8192      int32     or        b         103.721595        0.316         0.553       
65536       16384     int32     or        b         204.470396        0.321         0.561       
131072      32768     int32     or        b         406.771183        0.322         0.564       
262144      65536     int32     or        b         810.729599        0.323         0.566       
524288      131072    int32     or        b         1616.755295       0.324         0.567       
1048576     262144    int32     or        b         3233.900833       0.324         0.567       
2097152     524288    int32     or        b         6462.361908       0.325         0.568       
4194304     1048576   int32     or        b         12920.959473      0.325         0.568       
8388608     2097152   int32     or        b         25825.848389      0.325         0.568       
16777216    4194304   int32     or        b         53418.920898      0.314         0.550       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       b         13.596800         0.000         0.001       
8           2         int32     xor       b         6.259200          0.001         0.002       
16          4         int32     xor       b         6.230400          0.003         0.004       
32          8         int32     xor       b         6.304000          0.005         0.009       
64          16        int32     xor       b         7.075200          0.009         0.016       
128         32        int32     xor       b         6.163200          0.021         0.036       
256         64        int32     xor       b         6.220800          0.041         0.072       
512         128       int32     xor       b         7.017600          0.073         0.128       
1024        256       int32     xor       b         8.752000          0.117         0.205       
2048        512       int32     xor       b         11.091200         0.185         0.323       
4096        1024      int32     xor       b         16.864000         0.243         0.425       
8192        2048      int32     xor       b         20.982400         0.390         0.683       
16384       4096      int32     xor       b         56.249601         0.291         0.510       
32768       8192      int32     xor       b         104.556799        0.313         0.548       
65536       16384     int32     xor       b         204.476810        0.321         0.561       
131072      32768     int32     xor       b         407.574415        0.322         0.563       
262144      65536     int32     xor       b         811.532784        0.323         0.565       
524288      131072    int32     xor       b         1617.647934       0.324         0.567       
1048576     262144    int32     xor       b         3234.147263       0.324         0.567       
2097152     524288    int32     xor       b         6462.284851       0.325         0.568       
4194304     1048576   int32     xor       b         12919.609070      0.325         0.568       
8388608     2097152   int32     xor       b         25838.217163      0.325         0.568       
16777216    4194304   int32     xor       b         53459.985352      0.314         0.549       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       b         13.654400         0.000         0.001       
8           2         int32     min       b         6.249600          0.001         0.002       
