Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
256         64        int32     sum       b         60.035199         0.004         0.004       
512         128       int32     sum       b         60.176003         0.009         0.008       
1024        256       int32     sum       b         67.827201         0.015         0.014       
2048        512       int32     sum       b         60.105598         0.034         0.032       
4096        1024      int32     sum       b         59.721601         0.069         0.064       
8192        2048      int32     sum       b         60.217601         0.136         0.128       
16384       4096      int32     sum       b         60.083199         0.273         0.256       
32768       8192      int32     sum       b         60.096002         0.545         0.511       
65536       16384     int32     sum       b         59.644800         1.099         1.030       
131072      32768     int32     sum       b         60.268801         2.175         2.039       
262144      65536     int32     sum       b         60.249603         4.351         4.079       
524288      131072    int32     sum       b         60.038400         8.733         8.187       
1048576     262144    int32     sum       b         60.159999         17.430        16.340      
2097152     524288    int32     sum       b         59.798402         35.070        32.878      
4194304     1048576   int32     sum       b         59.801602         70.137        65.753      
8388608     2097152   int32     sum       b         59.952003         139.922       131.177     
16777216    4194304   int32     sum       b         60.172802         278.817       261.391     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      b         60.236800         0.001         0.001       
128         32        int32     prod      b         59.504002         0.002         0.002       
256         64        int32     prod      b         59.881598         0.004         0.004       
512         128       int32     prod      b         59.609598         0.009         0.008       
1024        256       int32     prod      b         60.876799         0.017         0.016       
2048        512       int32     prod      b         60.876799         0.034         0.032       
4096        1024      int32     prod      b         59.311998         0.069         0.065       
8192        2048      int32     prod      b         59.929597         0.137         0.128       
16384       4096      int32     prod      b         60.163200         0.272         0.255       
32768       8192      int32     prod      b         59.487998         0.551         0.516       
65536       16384     int32     prod      b         59.446400         1.102         1.034       
131072      32768     int32     prod      b         59.615999         2.199         2.061       
262144      65536     int32     prod      b         60.134399         4.359         4.087       
524288      131072    int32     prod      b         60.486400         8.668         8.126       
1048576     262144    int32     prod      b         60.300797         17.389        16.302      
2097152     524288    int32     prod      b         59.718400         35.117        32.923      
4194304     1048576   int32     prod      b         59.385598         70.628        66.214      
8388608     2097152   int32     prod      b         59.430403         141.150       132.328     
