Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8388608     2097152   int32     sum       b         25710.791016      0.326         0.571       
16777216    4194304   int32     sum       b         53414.605713      0.314         0.550       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      b         14.297600         0.000         0.000       
8           2         int32     prod      b         7.750400          0.001         0.002       
16          4         int32     prod      b         7.596800          0.002         0.004       
32          8         int32     prod      b         7.718400          0.004         0.007       
64          16        int32     prod      b         9.235200          0.007         0.012       
128         32        int32     prod      b         7.494400          0.017         0.030       
256         64        int32     prod      b         7.584000          0.034         0.059       
512         128       int32     prod      b         7.641600          0.067         0.117       
1024        256       int32     prod      b         9.280000          0.110         0.193       
2048        512       int32     prod      b         12.608001         0.162         0.284       
4096        1024      int32     prod      b         17.472000         0.234         0.410       
8192        2048      int32     prod      b         22.380801         0.366         0.641       
16384       4096      int32     prod      b         56.684798         0.289         0.506       
32768       8192      int32     prod      b         106.048000        0.309         0.541       
65536       16384     int32     prod      b         205.875206        0.318         0.557       
131072      32768     int32     prod      b         407.206392        0.322         0.563       
262144      65536     int32     prod      b         808.780766        0.324         0.567       
524288      131072    int32     prod      b         1615.347290       0.325         0.568       
1048576     262144    int32     prod      b         3227.167892       0.325         0.569       
2097152     524288    int32     prod      b         6441.766357       0.326         0.570       
4194304     1048576   int32     prod      b         12870.573425      0.326         0.570       
8388608     2097152   int32     prod      b         25756.646729      0.326         0.570       
16777216    4194304   int32     prod      b         53377.703857      0.314         0.550       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       b         14.451200         0.000         0.000       
8           2         int32     and       b         7.712000          0.001         0.002       
16          4         int32     and       b         7.558400          0.002         0.004       
32          8         int32     and       b         7.641600          0.004         0.007       
64          16        int32     and       b         9.120000          0.007         0.012       
128         32        int32     and       b         7.449600          0.017         0.030       
256         64        int32     and       b         7.705600          0.033         0.058       
512         128       int32     and       b         7.648000          0.067         0.117       
1024        256       int32     and       b         9.120000          0.112         0.196       
2048        512       int32     and       b         12.358400         0.166         0.290       
4096        1024      int32     and       b         17.625600         0.232         0.407       
8192        2048      int32     and       b         22.483200         0.364         0.638       
16384       4096      int32     and       b         56.793600         0.288         0.505       
32768       8192      int32     and       b         105.791998        0.310         0.542       
65536       16384     int32     and       b         205.811191        0.318         0.557       
131072      32768     int32     and       b         408.985615        0.320         0.561       
262144      65536     int32     and       b         810.496044        0.323         0.566       
524288      131072    int32     and       b         1611.481667       0.325         0.569       
1048576     262144    int32     and       b         3222.156906       0.325         0.569       
2097152     524288    int32     and       b         6430.630493       0.326         0.571       
4194304     1048576   int32     and       b         12869.868469      0.326         0.570       
8388608     2097152   int32     and       b         25715.762329      0.326         0.571       
16777216    4194304   int32     and       b         53441.723633      0.314         0.549       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        b         14.220800         0.000         0.000       
8           2         int32     or        b         7.878400          0.001         0.002       
16          4         int32     or        b         7.628800          0.002         0.004       
32          8         int32     or        b         7.539200          0.004         0.007       
64          16        int32     or        b         7.507200          0.009         0.015       
128         32        int32     or        b         7.641600          0.017         0.029       
